 1.2500,  0.00038, -1.3404,  3.0164
 1.2500,  0.00058, -1.2287,  4.4311
 1.2500,  0.00083, -1.1170,  5.7906
 1.2500,  0.00116, -1.0053,  0.7947
 1.2500,  0.00154, -0.8936,  1.9938
 1.2500,  0.00198, -0.7819,  3.0897
 1.2500,  0.00245, -0.6702,  4.0688
 1.2500,  0.00292, -0.5585,  4.9189
 1.2500,  0.00337, -0.4468,  5.6294
 1.2500,  0.00376, -0.3351,  6.1913
 1.2500,  0.00407, -0.2234,  0.3146
 1.2500,  0.00427, -0.1117,  0.5606
 1.2500,  0.00433,  0.0000,  0.6429
 1.2500,  0.00427,  0.1117,  0.5606
 1.2500,  0.00407,  0.2234,  0.3146
 1.2500,  0.00376,  0.3351,  6.1913
 1.2500,  0.00337,  0.4468,  5.6294
 1.2500,  0.00292,  0.5585,  4.9189
 1.2500,  0.00245,  0.6702,  4.0688
 1.2500,  0.00198,  0.7819,  3.0897
 1.2500,  0.00154,  0.8936,  1.9938
 1.2500,  0.00116,  1.0053,  0.7947
 1.2500,  0.00083,  1.1170,  5.7906
 1.2500,  0.00058,  1.2287,  4.4311
 1.2500,  0.00038,  1.3404,  3.0164
