 1.2500,  0.00063, -1.3404,  3.4105
 1.2500,  0.00096, -1.2287,  2.0631
 1.2500,  0.00139, -1.1170,  0.7684
 1.2500,  0.00193, -1.0053,  5.8255
 1.2500,  0.00257, -0.8936,  4.6835
 1.2500,  0.00330, -0.7819,  3.6398
 1.2500,  0.00408, -0.6702,  2.7073
 1.2500,  0.00487, -0.5585,  1.8977
 1.2500,  0.00562, -0.4468,  1.2211
 1.2500,  0.00627, -0.3351,  0.6859
 1.2500,  0.00679, -0.2234,  0.2987
 1.2500,  0.00711, -0.1117,  0.0645
 1.2500,  0.00722,  0.0000,  6.2693
 1.2500,  0.00711,  0.1117,  0.0645
 1.2500,  0.00679,  0.2234,  0.2987
 1.2500,  0.00627,  0.3351,  0.6859
 1.2500,  0.00562,  0.4468,  1.2211
 1.2500,  0.00487,  0.5585,  1.8977
 1.2500,  0.00408,  0.6702,  2.7073
 1.2500,  0.00330,  0.7819,  3.6398
 1.2500,  0.00257,  0.8936,  4.6835
 1.2500,  0.00193,  1.0053,  5.8255
 1.2500,  0.00139,  1.1170,  0.7684
 1.2500,  0.00096,  1.2287,  2.0631
 1.2500,  0.00063,  1.3404,  3.4105
